,open,high,low,close
2020-08-25,1.31492,1.32125,1.31182,1.31522
2020-08-26,1.3219,1.32798,1.31667,1.32198
2020-08-27,1.31997,1.33536,1.31883,1.31996
2020-08-30,1.33551,1.33932,1.33027,1.33565
2020-08-31,1.33651,1.34807,1.33565,1.33645
2020-09-01,1.34005,1.34014,1.32853,1.33994
2020-09-02,1.335,1.335,1.3247,1.33513
2020-09-03,1.3267,1.33182,1.3178,1.32622
2020-09-06,1.32484,1.32591,1.3143,1.32457
2020-09-07,1.31626,1.31666,1.30122,1.31622
2020-09-08,1.2968,1.3018,1.28873,1.29685
2020-09-09,1.29988,1.30336,1.28441,1.29992
2020-09-10,1.28108,1.28601,1.27659,1.28083
2020-09-13,1.28098,1.29151,1.2792,1.28066
2020-09-14,1.28469,1.29249,1.28172,1.28497
2020-09-15,1.28833,1.30058,1.28783,1.28848
2020-09-16,1.29611,1.29951,1.28665,1.296
2020-09-17,1.29842,1.29992,1.29366,1.29756
2020-09-20,1.29334,1.29661,1.27816,1.29328
2020-09-21,1.28167,1.28659,1.27141,1.28205
2020-09-22,1.27436,1.27758,1.26796,1.27441
2020-09-23,1.2718,1.27745,1.26928,1.27175
2020-09-24,1.27566,1.28038,1.26913,1.27571
2020-09-27,1.27654,1.29191,1.27531,1.27668
2020-09-28,1.28728,1.28987,1.28365,1.28735
2020-09-29,1.28651,1.29396,1.28079,1.28665
2020-09-30,1.29182,1.29803,1.2823,1.29176
2020-10-01,1.28856,1.2951,1.28396,1.28863
2020-10-04,1.29281,1.29875,1.29016,1.29311
2020-10-05,1.29921,1.3009,1.29234,1.29926
2020-10-06,1.28848,1.29293,1.28503,1.28833
2020-10-07,1.29166,1.29693,1.28966,1.29176
2020-10-08,1.29393,1.30151,1.29267,1.29405
2020-10-11,1.30293,1.30798,1.30056,1.30317
2020-10-12,1.30659,1.30675,1.29619,1.30658
2020-10-13,1.29333,1.30627,1.28667,1.29353
2020-10-14,1.30144,1.30293,1.28926,1.30124
2020-10-15,1.29031,1.29618,1.28733,1.29021
2020-10-18,1.29278,1.30229,1.29249,1.29278
2020-10-19,1.2947,1.29779,1.29127,1.29487
2020-10-20,1.29571,1.31714,1.29552,1.2954
2020-10-21,1.31311,1.31499,1.30717,1.3132
2020-10-22,1.30784,1.31144,1.30227,1.30781
2020-10-25,1.30536,1.30726,1.29954,1.30547
2020-10-26,1.30173,1.30779,1.30025,1.30157
2020-10-27,1.30317,1.30635,1.29184,1.30319
2020-10-28,1.29879,1.30252,1.28836,1.29899
2020-10-29,1.29321,1.29875,1.29001,1.29319
2020-11-01,1.29271,1.29425,1.28568,1.29267
2020-11-02,1.2924,1.3077,1.29161,1.29239
2020-11-03,1.31327,1.31377,1.29179,1.31216
